ishan kishan,52,129.2,23,-,-,Left-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1vPZArP9WWYiORJF33BAva7bOxYBrFMKu,-,-
naman ojha,150,117.6,20.8,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=16Kv-vk1HKAGes4W1Mj1m-VCQMNOHxKFA,-,-
MS dhoni,269,136,38.4,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1MWuQAh1bsohPQki3HcFIisJnY1uDyEVx,-,-
ambati rayudu,184,126,26.5,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1yaDxk2KnwA7IN9X0uzCaY_O4wHX3HDqL,-,-
parthiv patel,179,122.4,22.9,-,-,Left-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=19wDUYH-TnB5M9Hq7vn7Og0NpK6iiUNnX,-,-
Kl rahul ,80,138.7,37.7,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1jUXRrIO5PQ8om6tNJRn5PEj2YXj2dvKt,-,-
prashant chopra,29,113.4,32.6,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1-8xPLIFrbuXqMWaT8wh1GHleUnC7nKV8,-,-
M. shami,65,-,-,26.6,8.29,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1MFIisHQ0VUBHr7l8uj3hYdrQEM3h-owM,-,-
basil thampi,43,-,-,27,8.39,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1MSOMIHEuBQfDNSX0yGzzGQ0VD96FB1hA,-,-
harbhajan singh,239,-,-,26.2,6.73,Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=18uzpSpFKohrChwlFQQL0HO183eZX76vQ,-,-
siddharth kaul,85,-,-,23.7,7.26,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1CWsZVmCYsFoonkFwj18Z-8GclhNIWhX1,-,-
mayank markande,18,-,-,24.4,8.11,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1jYfA9ZXTXLyY25wODI65ijNWfkAib0kg,-,-
deepak chahar,38,-,-,24.2,7.51,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1LGXTJY4gC-GIIhNa0zKavhdvA5GAJTXP,-,-
vinay kumar,163,-,-,26.3,7.99,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1PhvTZgQhz_utgaDzGzu5TJz_ZPF-d_Ew,-,-
sandeep sharma,94,-,-,23.6,7.55,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1yCmOrf2viWjJWSYUBWesLnJ-TvNQSizq,-,-
piyush chawla ,207,-,-,24.7,7.52,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1o-lcD7BvDNQTDUf2K1Wnja-eGbcVCfRn,-,-
